Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
60,PPA,HB,Industrials,Aerospace & Defense,0.3711074506861738,0.07368095682549347,0.20605994574439568,-0.07432413341238442,-0.08787832983669808,-0.10976153331847549,-0.001624593851537015,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
61,VBK,,Broad Equity & Factors,Small Growth,0.33554832189516914,0.13160784709418305,0.20464932770813538,0.09899137928996349,-0.050018387581519996,-0.060632981676846165,-0.0013576530311079082,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
62,XMMO,HB,Broad Equity & Factors,Mid Cap Momentum,0.30922604722518443,0.11272678919024925,0.2011244918908417,0.013810396733901609,-0.1387108054685542,-0.07359578736208627,0.0032586558044804814,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
63,RSP,,Broad Equity & Factors,Equal Weight,0.2507606829944,0.1460407932645249,0.19883781129706102,0.10709974470721484,0.015013136484104628,-0.0440401675147476,-0.004781773006422574,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
64,ONEQ,,Broad Equity & Factors,Nasdaq Composite,0.5247679936965575,0.1983124192819874,0.19062357307514066,0.20344173262064058,0.001630695443645136,0.0064578313253012,0.002207505518763808,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
65,QUAL,,Broad Equity & Factors,Quality Factor,0.2998204891353502,0.15630962304554719,0.18104158057305475,0.1330184240618839,0.01742516606724509,-0.020940801690917055,0.001050468143411809,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
66,IVV,,Broad Equity & Factors,S&P 500,0.3858050652446796,0.17166955792996563,0.1802369562955768,0.16380109716911107,0.02269089901864474,-0.007259049396742823,0.0010993613234215882,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
67,VOO,,Broad Equity & Factors,S&P 500,0.38537727301358826,0.17155606521277322,0.18012012035048253,0.1636511314665805,0.022835991775311593,-0.007256935111966123,0.001069854357160116,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
68,SPY,,Broad Equity & Factors,S&P 500,0.38093123139781637,0.16831481930726566,0.17961926103328874,0.1605605727726751,0.02002035514369127,-0.009583127454294682,-0.001193286126409565,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
69,KBE,HB,Financials & Credit,Banks,0.302913919894253,0.12711945544978365,0.16941604264018384,0.16273830654703847,0.019293408555085767,-0.03616898148148151,-0.000899820035992871,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
